model,concat_variant,layer,positive_minus_negative,std_across_pairs,n_pairs,sem_across_pairs
Qwen2.5-3B-Instruct,posneg,22,0.00019260977572521063,0.000295248461216447,150,2.410693591074013e-05
Qwen2.5-3B-Instruct,posneg,23,0.000301412337275672,0.00038974302155687235,150,3.182238445416273e-05
Qwen2.5-3B-Instruct,posneg,24,0.00039802722945489586,0.0006800246268887746,150,5.552377828013371e-05
Qwen2.5-3B-Instruct,posneg,25,0.00034667316772149997,0.0005929614846549412,150,4.841510248425878e-05
Qwen2.5-3B-Instruct,posneg,26,0.00030933545093498954,0.0005659559513789503,150,4.621010992566112e-05
Qwen2.5-3B-Instruct,posneg,27,0.0002474427796751792,0.0004133160941680707,150,3.374711777306318e-05
Qwen2.5-3B-Instruct,posneg,28,0.0001951254826156168,0.0003597763767241007,150,2.9375618149379376e-05
Qwen2.5-3B-Instruct,posneg,29,0.00015241372868379788,0.00024521490599798275,150,2.0021713233986666e-05
Qwen2.5-3B-Instruct,posneg,30,0.00010511267363796002,0.00017658529057831658,150,1.4418128599932449e-05
Qwen2.5-3B-Instruct,posneg,31,0.0001184135955147007,0.00020306900011899867,150,1.658051442895744e-05
Qwen2.5-3B-Instruct,posneg,32,0.00011841831492543771,0.00023419147502689366,150,1.912165386418796e-05
Qwen2.5-3B-Instruct,posneg,33,0.00015223995523779547,0.00036026871925670575,150,2.9415817748831105e-05
Qwen2.5-3B-Instruct,posneg,34,0.000184913186608698,0.0004935406856976147,150,4.0297428242082783e-05
Qwen2.5-3B-Instruct,posneg,35,0.0003655316222983977,0.0006928516799867338,150,5.6571102779919915e-05
