model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,posneg,negative,26,0.9989891132965966,0.00022926267680920055,150,15000,1.871921917490505e-05
Qwen2.5-1.5B-Instruct,posneg,negative,27,0.9955845418059357,0.0007473568429295947,150,15000,6.102143069849537e-05
Qwen2.5-1.5B-Instruct,posneg,positive,0,0.9984950104185619,0.00011847826246544175,150,15000,9.673709621729093e-06
Qwen2.5-1.5B-Instruct,posneg,positive,1,0.9982197153918664,0.00014414866999386275,150,15000,1.1769689619526803e-05
Qwen2.5-1.5B-Instruct,posneg,positive,2,0.9980915235972162,0.00013264283007774654,150,15000,1.083024172430574e-05
Qwen2.5-1.5B-Instruct,posneg,positive,3,0.9973294928977422,0.00013800732409939437,150,15000,1.1268250827014008e-05
Qwen2.5-1.5B-Instruct,posneg,positive,4,0.9973818051742889,0.00012402894132339617,150,15000,1.0126920652663852e-05
Qwen2.5-1.5B-Instruct,posneg,positive,5,0.9975884607088534,0.0001458672591952531,150,15000,1.1910011840222255e-05
Qwen2.5-1.5B-Instruct,posneg,positive,6,0.9978328158125138,0.0001158758745107246,150,15000,9.461225535001688e-06
Qwen2.5-1.5B-Instruct,posneg,positive,7,0.9975931653801272,0.00013276148345019306,150,15000,1.0839929731597551e-05
Qwen2.5-1.5B-Instruct,posneg,positive,8,0.9977122378506826,0.00013620147663740242,150,15000,1.1120803999174663e-05
Qwen2.5-1.5B-Instruct,posneg,positive,9,0.9974980853120033,0.00019064574096044507,150,15000,1.5566159566263634e-05
Qwen2.5-1.5B-Instruct,posneg,positive,10,0.9979039464195147,0.00013647621418612282,150,15000,1.114323622609293e-05
Qwen2.5-1.5B-Instruct,posneg,positive,11,0.997961463379566,0.0001608644422524049,150,15000,1.3134526709193423e-05
Qwen2.5-1.5B-Instruct,posneg,positive,12,0.9981590596163717,0.00015371845350106624,150,15000,1.2551059170911823e-05
Qwen2.5-1.5B-Instruct,posneg,positive,13,0.997849285545784,0.0001807222191696811,150,15000,1.4755907404971576e-05
Qwen2.5-1.5B-Instruct,posneg,positive,14,0.9978370094291682,0.00021485502045147576,150,15000,1.7542838959378662e-05
Qwen2.5-1.5B-Instruct,posneg,positive,15,0.9977913361404708,0.00020089110362795984,150,15000,1.640268992510267e-05
Qwen2.5-1.5B-Instruct,posneg,positive,16,0.9980278183053237,0.00021034173598389474,150,15000,1.717433082572525e-05
Qwen2.5-1.5B-Instruct,posneg,positive,17,0.9982305242746673,0.00020459628722407344,150,15000,1.6705216898896298e-05
Qwen2.5-1.5B-Instruct,posneg,positive,18,0.9982780402097085,0.0002464539271997404,150,15000,2.0122878891479873e-05
Qwen2.5-1.5B-Instruct,posneg,positive,19,0.9987120051997668,0.00017752827998976243,150,15000,1.4495123362962106e-05
Qwen2.5-1.5B-Instruct,posneg,positive,20,0.9987524269033082,0.00017949218543231304,150,15000,1.46554755708729e-05
Qwen2.5-1.5B-Instruct,posneg,positive,21,0.9989936430743912,0.00014716646793259865,150,15000,1.2016091789417663e-05
Qwen2.5-1.5B-Instruct,posneg,positive,22,0.9988407131830123,0.0003322242500948916,150,15000,2.712599643037568e-05
Qwen2.5-1.5B-Instruct,posneg,positive,23,0.9990227739527476,0.00027783573310370983,150,15000,2.268519261387273e-05
Qwen2.5-1.5B-Instruct,posneg,positive,24,0.9991215973626055,0.0002320122097268395,150,15000,1.8943717597545094e-05
Qwen2.5-1.5B-Instruct,posneg,positive,25,0.9990792462464778,0.00020981147208938192,150,15000,1.7131034960039335e-05
Qwen2.5-1.5B-Instruct,posneg,positive,26,0.998992094192722,0.00021393878460847666,150,15000,1.7468028616065443e-05
Qwen2.5-1.5B-Instruct,posneg,positive,27,0.9955243001873416,0.0008130743394272093,150,15000,6.638724181823858e-05
Qwen2.5-3B-Instruct,negpos,negative,0,0.9992484092193151,1.724579544930187e-05,150,15000,1.4081133019733914e-06
Qwen2.5-3B-Instruct,negpos,negative,1,0.9990451505215151,3.0100281259512716e-05,150,15000,2.457677673335504e-06
Qwen2.5-3B-Instruct,negpos,negative,2,0.9989250599352109,3.020284090023906e-05,150,15000,2.4660516329349273e-06
Qwen2.5-3B-Instruct,negpos,negative,3,0.9985070559317797,6.933176980277435e-05,150,15000,5.6609152993633416e-06
