model,category,pair_slug,concat_variant,reference_variant,layer,mean_cos,std_cos,n_rows
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,2,0.9947471455989217,0.0014939123538072966,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,3,0.9767895112575222,0.005142098910760621,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,4,0.923890631334426,0.024773669549072418,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,5,0.8712323211931006,0.05642829543340291,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,6,0.8002423781727246,0.10177277291709057,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,7,0.7494056812417926,0.12928580597726938,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,8,0.6853023483145264,0.14449091889990043,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,9,0.6663798052592269,0.15156083220563654,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,10,0.6279352119855806,0.16869693916942638,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,11,0.6401653196048622,0.13661554061438738,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,12,0.572923996715246,0.146513910545816,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,13,0.5440303742249987,0.12364748546912477,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,14,0.5616963894964262,0.12103749526623274,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,15,0.5291889919272207,0.12399198844864937,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,16,0.5239921345243623,0.12161722570108208,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,17,0.5465323255601342,0.11646410773065595,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,18,0.5219677024072307,0.12067779467125328,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,19,0.5046641140555583,0.12255970341872481,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,20,0.49975591559073657,0.12998388499296973,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,21,0.49572179300065145,0.13059918561893222,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,22,0.4988800293897929,0.12912252482812484,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,23,0.4851402814683782,0.13098311648830802,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,24,0.5327569939417814,0.1151994881046345,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,25,0.5749310286977197,0.10450065500775282,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,26,0.708364777647209,0.07967784014546525,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,27,0.7966731315651917,0.05910274876650874,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,0,0.9984888269111494,0.0006009944276273816,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,1,0.9976687143496822,0.000844239961617769,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,2,0.9958999897836718,0.0012546868248929806,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,3,0.9826489800414396,0.004116420631743683,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,4,0.9360710576332552,0.020452611750616412,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,5,0.8946843824791532,0.04082069436625867,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,6,0.8235374247067306,0.08369144617575028,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,7,0.7700759247877612,0.11000805794917964,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,8,0.70530487952027,0.12463352944033822,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,9,0.6723455337430322,0.13633722514995747,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,10,0.6244710555545658,0.15476057821733744,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,11,0.6350075562667041,0.13605135135279028,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,12,0.5692161337427004,0.14886183004154843,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,13,0.5658801859360526,0.13685198082372624,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,14,0.5736728012601968,0.1306474373998846,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,15,0.5513649907942035,0.13492021422583747,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,16,0.548551229757953,0.13389160450249707,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,17,0.573337469113451,0.1314944682637514,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,18,0.5481945283132802,0.13497383652237765,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,19,0.5310528914975943,0.12820644363146327,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,20,0.5203265305859185,0.12968028255885666,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,21,0.5124364460000213,0.12991490624187882,100
