model,category,pair_slug,concat_variant,reference_variant,layer,mean_cos,std_across_rows,n_rows_total
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,11,0.12487239723575116,0.27916596768958846,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,12,0.11862780259772293,0.25649411954061435,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,13,0.11300110799756202,0.19361335087323744,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,14,0.10991215378600792,0.19067345485329656,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,15,0.11158102614143982,0.18465937471332497,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,16,0.10142078909061215,0.17792715889744237,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,17,0.09449542991829742,0.17190824408717312,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,18,0.09196645630683772,0.17280491490812577,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,19,0.08858871719542595,0.1709827627203349,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,20,0.09691135698846778,0.17359213430116385,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,21,0.09807130004373432,0.17205380647847993,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,22,0.09417306763901195,0.16812153801744484,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,23,0.09714890003862163,0.1687583640219571,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,24,0.09657561099221099,0.15917838955583113,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,25,0.09584880150826956,0.15635399150258206,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,26,0.1007280771009273,0.15492890061115672,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,27,0.10099161472166339,0.14611713244723434,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,0,0.6468088748156682,0.09530709068117865,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,1,0.5579343498925382,0.09968203938108953,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,2,0.4841331533459249,0.10988974991969477,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,3,0.3335381483425005,0.11519268165801604,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,4,0.2100783947424742,0.19376387413057916,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,5,0.21995720722253387,0.23037810586952642,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,6,0.18449043443158675,0.27456234825193143,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,7,0.1802899238081049,0.2967489856014555,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,8,0.1726779435656412,0.291301110424211,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,9,0.17795320104105408,0.2962451524181549,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,10,0.17433457543382042,0.3013685456311466,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,11,0.17715070048563356,0.2759758908352296,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,12,0.15937473709456818,0.23430217332533948,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,13,0.13779878196173453,0.17409824445891445,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,14,0.12565740665108197,0.16586862550200412,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,15,0.12308390189529017,0.15593139766522954,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,16,0.11098963601355301,0.14080234297933844,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,17,0.1114628706957736,0.13813975757420374,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,18,0.10109756247887301,0.1340939170814765,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,19,0.08887947200147828,0.12488954024796607,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,20,0.08411340986744319,0.12039984207020771,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,21,0.08281527703508082,0.1148622036260326,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,22,0.08230481257198084,0.11196372141737526,100
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,23,0.07940968115484964,0.10852652235966374,100
