model,category,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,20,0.998584056006459,0.0002146474953498024,50,5000,3.0355739905310638e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,21,0.998852055845455,0.0001740397695666399,50,5000,2.4612940251343036e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,22,0.9985594653881129,0.0004422204959916416,50,5000,6.253942229907365e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,23,0.9987833824969959,0.00036675236717597927,50,5000,5.18666171692707e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,24,0.9989112073234371,0.00029814880758477095,50,5000,4.2164608729174934e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,25,0.998888562643873,0.00026832604737415505,50,5000,3.7947033533449564e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,26,0.9988011380589495,0.00027556935048681213,50,5000,3.8971391283279456e-05
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,27,0.9948233621293703,0.0010285787747025012,50,5000,0.00014546300531533774
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,0,0.9985308960958748,0.00014067367737940302,50,5000,1.98942622418849e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,1,0.9983069644120159,0.0001672935391941114,50,5000,2.365887920257073e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,2,0.9982308980713117,0.00015083471404046198,50,5000,2.1331249827268884e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,3,0.9976297596899151,0.0001281038039200104,50,5000,1.8116613689526236e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,4,0.997680416664465,0.00012334200706325897,50,5000,1.744319391991789e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,5,0.9977656349033063,0.0001645182171714009,50,5000,2.3266389398123735e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,6,0.9980036444565462,0.00012870567377253604,50,5000,1.8201730940348762e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,7,0.9977244411434153,0.00014613014331123184,50,5000,2.066592305422681e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,8,0.9978525824212677,0.00012638678624837295,50,5000,1.787379072171984e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,9,0.9976073395309482,0.000146387833507952,50,5000,2.070236595133603e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,10,0.9979405069713105,0.00010611086219975628,50,5000,1.5006342043799791e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,11,0.9979924774624322,8.427376133502547e-05,50,5000,1.1918109623218636e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,12,0.9981505254302547,6.78803826837747e-05,50,5000,9.599735781046998e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,13,0.9978567625887637,9.785167881610562e-05,50,5000,1.3838317128271264e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,14,0.997815256651646,0.0001280214819772435,50,5000,1.810497160873205e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,15,0.9977716397424173,0.0001465108803305461,50,5000,2.0719767399867982e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,16,0.9980242096012307,0.00013471192676817292,50,5000,1.9051143384896134e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,17,0.9982609836970212,0.00011798414910105588,50,5000,1.6685478380376264e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,18,0.9983803720675287,0.00010588040050870588,50,5000,1.49737498388907e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,19,0.9987897872424785,7.367107106502959e-05,50,5000,1.0418662785471694e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,20,0.998838016344193,6.182398174070199e-05,50,5000,8.743231345760734e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,21,0.9990635507478423,4.592288200248502e-05,50,5000,6.494476255117363e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,22,0.9990069061947976,0.00016175955248439833,50,5000,2.2876255296683857e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,23,0.9991723740572764,0.00012425239033576194,50,5000,1.757194155701102e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,24,0.9992608041373449,9.79407262001955e-05,50,5000,1.385091033009864e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,25,0.9992294813379408,8.662194394850543e-05,50,5000,1.2250192793109842e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,26,0.9991502675108939,9.148658979185388e-05,50,5000,1.293815760589037e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,27,0.9962492322492199,0.0002531700028289814,50,5000,3.580364515867803e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,0,0.9984743940374226,5.985004850807746e-05,50,5000,8.464075030881077e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,1,0.9981945497537049,8.144781321286571e-05,50,5000,1.1518460207126524e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,2,0.9980652615150523,7.955056385451311e-05,50,5000,1.1250148629747936e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,3,0.9972726129469498,9.175868206148159e-05,50,5000,1.2976637263682808e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,4,0.997326729432288,8.457949980221022e-05,50,5000,1.196134757190182e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,5,0.9975445538408381,0.00010285618774719367,50,5000,1.4546061568607464e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,6,0.9977912868103879,7.9289983255165e-05,50,5000,1.1213296967978993e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,7,0.9975371773330068,9.623093538049297e-05,50,5000,1.3609109393494207e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,8,0.9976846822275266,9.764547047286895e-05,50,5000,1.3809154864703285e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,9,0.9975020777830843,0.0001265274870558755,50,5000,1.7893688820740538e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,10,0.9979095401803123,8.350338401772068e-05,50,5000,1.1809161818190932e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,11,0.9980187604142199,6.546399936336578e-05,50,5000,9.258007574685554e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,12,0.9982121581550564,5.274766540177444e-05,50,5000,7.459646379470748e-06
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,13,0.9978728137388255,9.578119009462068e-05,50,5000,1.3545505805204812e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,14,0.9978766642870722,0.00011469416341099667,50,5000,1.622020414208675e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,15,0.9978143992602507,0.00012860533711195647,50,5000,1.8187541193729276e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,16,0.9980371696952389,0.00012964201587906598,50,5000,1.8334149710956324e-05
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,17,0.9982444140482771,0.00011509118643014823,50,5000,1.6276351675912595e-05
