model,category,pair_slug,concat_variant,reference_variant,mean_cos,std_across_layers,n_layers,n_rows_total,pair_overall_mean
Llama-3.2-3B-Instruct,ideology,ideology__institutional_solutions__market_solutions,posneg,negative,0.7094771738917199,0.15699769779625522,28,2800,0.7079864575630248
Llama-3.2-3B-Instruct,ideology,ideology__institutional_solutions__market_solutions,posneg,positive,0.7097422943283844,0.1514792415744024,28,2800,0.7079864575630248
Llama-3.2-3B-Instruct,ideology,ideology__law_and_order__reform_priority,negpos,negative,0.6919991262140694,0.1725876042754166,28,2800,0.7137754645595753
Llama-3.2-3B-Instruct,ideology,ideology__law_and_order__reform_priority,negpos,positive,0.7349227195163076,0.13603395818549976,28,2800,0.7137754645595753
Llama-3.2-3B-Instruct,ideology,ideology__law_and_order__reform_priority,posneg,negative,0.6867648297309492,0.17659935001726806,28,2800,0.7137754645595753
Llama-3.2-3B-Instruct,ideology,ideology__law_and_order__reform_priority,posneg,positive,0.741415182776975,0.13225596927863126,28,2800,0.7137754645595753
Llama-3.2-3B-Instruct,ideology,ideology__long_term_stability__rapid_innovation,negpos,negative,0.7106549946577484,0.15652944901079532,28,2800,0.6998480171650296
Llama-3.2-3B-Instruct,ideology,ideology__long_term_stability__rapid_innovation,negpos,positive,0.6874337598569096,0.16702416757786054,28,2800,0.6998480171650296
Llama-3.2-3B-Instruct,ideology,ideology__long_term_stability__rapid_innovation,posneg,negative,0.7025658989237286,0.16305216978265286,28,2800,0.6998480171650296
Llama-3.2-3B-Instruct,ideology,ideology__long_term_stability__rapid_innovation,posneg,positive,0.6987374152217318,0.15855020095256506,28,2800,0.6998480171650296
Llama-3.2-3B-Instruct,ideology,ideology__national_priority__global_priority,negpos,negative,0.7290290994453862,0.1434296508607196,28,2800,0.7250348796253399
Llama-3.2-3B-Instruct,ideology,ideology__national_priority__global_priority,negpos,positive,0.7245811838967741,0.14120493971441628,28,2800,0.7250348796253399
Llama-3.2-3B-Instruct,ideology,ideology__national_priority__global_priority,posneg,negative,0.7236541311547733,0.1468473901544868,28,2800,0.7250348796253399
Llama-3.2-3B-Instruct,ideology,ideology__national_priority__global_priority,posneg,positive,0.7228751040044257,0.14153885424139637,28,2800,0.7250348796253399
