model,category,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-3B-Instruct,ideology,negpos,negative,7,0.2654663721843026,0.03871790800868398,50,5000,0.0054755390612594755
Qwen2.5-3B-Instruct,ideology,negpos,negative,8,0.28598711361532275,0.03425343181622944,50,5000,0.0048441667832333744
Qwen2.5-3B-Instruct,ideology,negpos,negative,9,0.28930919760694335,0.03541070696954658,50,5000,0.005007830204955225
Qwen2.5-3B-Instruct,ideology,negpos,negative,10,0.3022589664348563,0.03503213760430303,50,5000,0.004954292411892585
Qwen2.5-3B-Instruct,ideology,negpos,negative,11,0.3197899618048377,0.035602565036537526,50,5000,0.005034963032994153
Qwen2.5-3B-Instruct,ideology,negpos,negative,12,0.3903546591636439,0.029996537693998664,50,5000,0.004242151043108868
Qwen2.5-3B-Instruct,ideology,negpos,negative,13,0.3901222480656824,0.027964449826043212,50,5000,0.003954770420829225
Qwen2.5-3B-Instruct,ideology,negpos,negative,14,0.413625118942047,0.03253593866158126,50,5000,0.004601276571974735
Qwen2.5-3B-Instruct,ideology,negpos,negative,15,0.4605689640006913,0.030431201577952025,50,5000,0.004303621799084928
Qwen2.5-3B-Instruct,ideology,negpos,negative,16,0.48206279272863234,0.029412685246833714,50,5000,0.0041595818381883285
Qwen2.5-3B-Instruct,ideology,negpos,negative,17,0.5174229268878325,0.024332058005809048,50,5000,0.0034410726432264
Qwen2.5-3B-Instruct,ideology,negpos,negative,18,0.5601394078054225,0.024688807538263437,50,5000,0.0034915246459431256
Qwen2.5-3B-Instruct,ideology,negpos,negative,19,0.5941378984751856,0.024553434186812516,50,5000,0.0034723799629825464
Qwen2.5-3B-Instruct,ideology,negpos,negative,20,0.597590862936091,0.02560052223122478,50,5000,0.003620460574323201
Qwen2.5-3B-Instruct,ideology,negpos,negative,21,0.5899578347771233,0.0237907824636243,50,5000,0.0033645247219525475
Qwen2.5-3B-Instruct,ideology,negpos,negative,22,0.5675800023945954,0.024318797870902197,50,5000,0.0034391973769639836
Qwen2.5-3B-Instruct,ideology,negpos,negative,23,0.5776585724066325,0.026687960929470685,50,5000,0.0037742476298540713
Qwen2.5-3B-Instruct,ideology,negpos,negative,24,0.5668935631322308,0.0301104854145369,50,5000,0.004258265684287534
Qwen2.5-3B-Instruct,ideology,negpos,negative,25,0.5652341281793434,0.028259532108737728,50,5000,0.0039965013574494845
Qwen2.5-3B-Instruct,ideology,negpos,negative,26,0.5625904834608885,0.02953868750905651,50,5000,0.004177401249000845
Qwen2.5-3B-Instruct,ideology,negpos,negative,27,0.5295708236922638,0.031409286080111835,50,5000,0.004441943835895063
Qwen2.5-3B-Instruct,ideology,negpos,negative,28,0.5245842751861326,0.03167006705121637,50,5000,0.004478823834509548
Qwen2.5-3B-Instruct,ideology,negpos,negative,29,0.49537650810605816,0.03396235918161595,50,5000,0.004803002896482768
Qwen2.5-3B-Instruct,ideology,negpos,negative,30,0.4739621263119922,0.030991153607999873,50,5000,0.00438281097460213
Qwen2.5-3B-Instruct,ideology,negpos,negative,31,0.39885128539799647,0.038955828570502005,50,5000,0.005509186109788523
Qwen2.5-3B-Instruct,ideology,negpos,negative,32,0.2726579545730958,0.04614844542231978,50,5000,0.0065263757398679205
Qwen2.5-3B-Instruct,ideology,negpos,negative,33,0.22780650481962522,0.04679821243101389,50,5000,0.006618266671475701
Qwen2.5-3B-Instruct,ideology,negpos,negative,34,0.2136840386226515,0.039625310853940277,50,5000,0.0056038652022892144
Qwen2.5-3B-Instruct,ideology,negpos,negative,35,0.265203317906145,0.035899856980275965,50,5000,0.005077006462876069
Qwen2.5-3B-Instruct,ideology,negpos,positive,0,0.039073457326352104,0.03669246364168543,50,5000,0.005189097971895321
Qwen2.5-3B-Instruct,ideology,negpos,positive,1,0.028741458655619515,0.05488213121068763,50,5000,0.007761505429009417
Qwen2.5-3B-Instruct,ideology,negpos,positive,2,0.039177433179951905,0.04832955265380957,50,5000,0.0068348308826442095
Qwen2.5-3B-Instruct,ideology,negpos,positive,3,0.10191290794398263,0.06777608357323439,50,5000,0.009584985659380041
Qwen2.5-3B-Instruct,ideology,negpos,positive,4,0.13911388282740625,0.060139350150114824,50,5000,0.008504988461459681
Qwen2.5-3B-Instruct,ideology,negpos,positive,5,0.15791121107065417,0.04835907333810187,50,5000,0.00683900573785388
Qwen2.5-3B-Instruct,ideology,negpos,positive,6,0.20903302889150513,0.043278443008875095,50,5000,0.006120496106154221
Qwen2.5-3B-Instruct,ideology,negpos,positive,7,0.23646329047052042,0.0459141624050712,50,5000,0.0064932431178252575
Qwen2.5-3B-Instruct,ideology,negpos,positive,8,0.2513506580041668,0.04009275892138732,50,5000,0.005669972341958085
Qwen2.5-3B-Instruct,ideology,negpos,positive,9,0.25014893701364777,0.04212061650300092,50,5000,0.00595675471140599
Qwen2.5-3B-Instruct,ideology,negpos,positive,10,0.26192221920085734,0.04332126173639066,50,5000,0.006126551588671828
Qwen2.5-3B-Instruct,ideology,negpos,positive,11,0.28457294930548876,0.043184924405188826,50,5000,0.00610727057838749
Qwen2.5-3B-Instruct,ideology,negpos,positive,12,0.35642433884763136,0.03611829328393656,50,5000,0.005107898021191215
Qwen2.5-3B-Instruct,ideology,negpos,positive,13,0.3670094067319586,0.037808953823287,50,5000,0.005346993527603056
Qwen2.5-3B-Instruct,ideology,negpos,positive,14,0.40169247751702486,0.04767357912638384,50,5000,0.006742062216739892
Qwen2.5-3B-Instruct,ideology,negpos,positive,15,0.44718291729087056,0.040035916533100076,50,5000,0.005661933614314735
Qwen2.5-3B-Instruct,ideology,negpos,positive,16,0.47134464621450717,0.0380545704724102,50,5000,0.0053817289672365215
Qwen2.5-3B-Instruct,ideology,negpos,positive,17,0.5121162640552681,0.031364982085856294,50,5000,0.0044356783049407135
Qwen2.5-3B-Instruct,ideology,negpos,positive,18,0.5558232233031364,0.032218355348431676,50,5000,0.004556363509110782
Qwen2.5-3B-Instruct,ideology,negpos,positive,19,0.5758538041183403,0.0313011247976352,50,5000,0.00442664752063485
Qwen2.5-3B-Instruct,ideology,negpos,positive,20,0.5827023737559133,0.03111201830681328,50,5000,0.0043999038242295355
Qwen2.5-3B-Instruct,ideology,negpos,positive,21,0.5774905169631432,0.030411416881631327,50,5000,0.004300823820498512
Qwen2.5-3B-Instruct,ideology,negpos,positive,22,0.5536613031874992,0.03052167344126823,50,5000,0.004316416452696422
