model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,negpos,negative,8,0.3369569024310604,0.0737829526244859,150,15000,0.0060243528548645136
Qwen2.5-1.5B-Instruct,negpos,negative,9,0.3531417352377923,0.07554898278298727,150,15000,0.006168548613487675
Qwen2.5-1.5B-Instruct,negpos,negative,10,0.39402242884111827,0.07122233424567495,150,15000,0.005815279239728529
Qwen2.5-1.5B-Instruct,negpos,negative,11,0.45160107762120805,0.08636868823716265,150,15000,0.007051973864485602
Qwen2.5-1.5B-Instruct,negpos,negative,12,0.4699534823090687,0.08271061053269292,150,15000,0.006753293070638854
Qwen2.5-1.5B-Instruct,negpos,negative,13,0.5633694624955093,0.07377967339384642,150,15000,0.006024085106803992
Qwen2.5-1.5B-Instruct,negpos,negative,14,0.5634686605225563,0.07261638401595658,150,15000,0.005929102926836332
Qwen2.5-1.5B-Instruct,negpos,negative,15,0.5678455653108997,0.06716469742128738,150,15000,0.00548397458035264
Qwen2.5-1.5B-Instruct,negpos,negative,16,0.5743372954240517,0.06613071560212391,150,15000,0.0053995503183438005
Qwen2.5-1.5B-Instruct,negpos,negative,17,0.5507151458600726,0.07178262345110568,150,15000,0.00586102666178502
Qwen2.5-1.5B-Instruct,negpos,negative,18,0.5546102480037092,0.06587641024075014,150,15000,0.005378786372536473
Qwen2.5-1.5B-Instruct,negpos,negative,19,0.5309886905609125,0.06565967944977716,150,15000,0.005361090377555353
Qwen2.5-1.5B-Instruct,negpos,negative,20,0.5162060160173552,0.07085838310068517,150,15000,0.00578556275317764
Qwen2.5-1.5B-Instruct,negpos,negative,21,0.4930838996055162,0.07340190089723035,150,15000,0.005993240111618437
Qwen2.5-1.5B-Instruct,negpos,negative,22,0.47219524518751,0.0784711805702757,150,15000,0.006407145063699232
Qwen2.5-1.5B-Instruct,negpos,negative,23,0.4640134132493043,0.08060809536750509,150,15000,0.006581623426266397
Qwen2.5-1.5B-Instruct,negpos,negative,24,0.45536486808782617,0.07816651232797389,150,15000,0.006382269005883563
